,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
philosopher,0,0,0,0,0,0,0,1
risk,0,1,0,1,0,0,0,0
bibliography,0,0,0,0,0,0,0,0
boring,0,0,0,0,0,0,0,0
phenomena,0,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,1
stir,0,0,0,0,0,0,0,0
circus,0,0,0,0,0,0,0,0
twin,0,0,0,0,0,0,0,0
allowance,0,0,0,0,0,0,0,0
business,0,0,0,0,0,0,0,0
classroom,0,0,0,0,0,0,0,0
carefree,0,0,0,0,1,0,0,0
chair,0,0,0,0,0,0,0,0
childhood,0,0,0,0,1,0,0,0
children-garden,0,1,0,0,1,0,0,0
class,0,0,0,0,0,0,0,0
desk,0,0,0,0,0,0,0,0
elementary,0,0,0,0,0,0,0,0
exam,0,0,0,1,0,0,0,0
high,0,0,0,0,0,0,0,0
high-school,0,0,0,0,0,0,0,1
kid,0,0,0,0,1,0,0,0
learn,0,0,0,0,0,0,0,0
teach,0,0,0,0,1,0,1,1
test,0,0,0,0,0,0,0,0
thought,0,0,0,0,0,0,0,0
young,0,1,0,0,1,0,1,0
coat,0,0,0,0,0,0,0,0
sounds,0,0,0,0,0,0,0,0
physicist,0,0,0,0,0,0,0,1
anthropology,0,0,0,0,0,0,0,0
people,0,0,0,0,0,0,0,0
determinant,0,0,0,0,0,0,0,0
period,0,0,0,0,0,0,0,0
seconds,0,0,0,0,0,0,0,0
series,0,0,0,0,0,0,0,1
t,0,0,0,0,0,0,0,0
waste,0,0,1,0,0,1,0,0
phone,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,0,0
campus,0,0,0,0,0,0,0,0
colloquium,0,0,0,0,0,0,0,0
girls,0,0,0,0,0,0,0,0
groningen,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,0,0,0
health,0,0,0,0,1,0,0,0
independence,0,1,0,0,1,0,1,1
journal,0,0,0,0,0,0,0,0
madras,0,0,0,0,0,0,0,0
rule,0,0,0,1,0,0,0,1
sick,0,0,1,0,0,1,0,0
stochastic,0,0,0,0,0,0,0,0
top,0,1,0,0,0,0,0,1
warsaw,0,0,0,0,0,0,0,0
culture,0,0,0,0,0,0,0,0
discussion,0,0,0,0,0,0,0,0
office,0,0,0,0,0,0,0,0
collision,1,0,0,0,0,0,0,0
individual,0,0,0,0,0,0,0,0
speaking,0,0,0,0,0,0,0,0
advanced,0,0,0,0,0,0,0,0
broadcast,0,0,0,0,0,0,0,0
homework,0,0,0,1,0,0,0,0
median,0,0,0,0,0,0,0,0
kitchen,0,0,0,0,0,0,0,0
biotic,0,0,0,0,0,0,0,0
controller,0,0,0,0,0,0,0,0
coordination,0,0,0,0,0,0,0,0
design,0,0,0,0,0,0,0,0
general,0,0,0,0,0,0,0,1
interacting,0,0,0,0,0,0,0,0
more,0,0,0,0,0,0,0,0
mountain,0,1,0,0,0,0,0,0
operating,0,0,0,0,0,0,0,0
operation,0,0,0,1,0,0,0,1
os,0,0,0,0,0,0,0,0
parts,0,0,0,0,0,0,0,0
politics,0,0,1,0,0,0,0,0
power,0,0,0,0,0,0,0,0
related,0,0,0,0,0,0,0,0
systemic,0,0,0,0,0,0,0,0
windows,0,0,0,0,0,0,0,0
weather,0,0,0,0,0,0,0,0
sklodowska,0,0,0,0,0,0,0,0
division,0,0,0,0,0,0,0,0
release,0,0,0,0,0,0,0,0
properties,0,0,0,0,0,0,0,0
property,0,0,0,0,0,0,0,0
plant,0,0,0,0,0,0,0,0
constellation,0,0,0,0,0,0,0,0
radioactive,0,0,0,1,0,0,0,0
recovery,0,0,0,0,1,0,0,1
racism,0,0,0,0,0,0,0,0
group,0,0,0,0,0,0,0,0
subset,0,0,0,0,0,0,0,0
arteria,0,0,0,0,0,0,0,0
depict,0,0,0,0,0,0,0,0
formally,0,0,0,0,0,0,0,0
separation,0,0,0,1,0,0,0,0
lens,0,0,0,0,0,0,0,1
weak,0,0,0,0,0,1,0,0
ethnic,0,0,0,0,0,0,0,0
heritage,0,0,0,0,0,0,0,1
interesting,0,0,0,0,0,0,0,0
shock,1,0,1,1,0,0,1,0
funding,0,0,0,0,0,0,0,0
career,0,1,0,0,0,0,0,0
bot,0,0,0,0,0,0,0,0
connect,0,0,0,0,0,0,0,0
relate,0,0,0,0,0,0,0,0
ecology,0,0,0,0,0,0,0,0
branch,0,0,0,0,0,0,0,0
dominant,0,0,0,1,0,0,0,0
players,0,0,0,0,0,0,0,0
tv,0,0,0,0,0,0,0,0
bayesian,0,0,0,0,0,0,0,0
bias,1,0,0,0,0,0,0,0
bullshit,0,0,0,0,0,0,0,0
confidence,0,1,0,1,1,0,0,1
co-variance,0,0,0,0,0,0,0,0
frequentist,0,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,0
new,0,0,0,0,0,0,0,0
medication,0,0,0,0,0,0,0,0
clock,0,1,0,0,0,0,0,0
inquiry,0,1,0,0,0,0,0,0
load,0,0,0,0,0,0,0,0
writer,0,0,0,0,0,0,0,0
banking,0,0,0,0,0,0,0,0
buy,0,0,0,0,0,0,0,0
company,0,0,0,0,0,0,0,0
football,0,1,0,0,1,0,0,0
botton,0,0,0,0,0,0,0,0
compute,0,0,0,0,0,0,0,0
crime,1,0,0,1,0,0,0,0
hiphop,0,0,0,0,0,0,0,0
committee,0,0,0,0,0,0,0,1
debate,0,0,0,0,0,0,0,0
event,0,0,0,0,0,0,0,0
logical,0,0,0,0,0,0,0,0
curious,0,1,0,0,0,0,0,0
planet,0,0,0,0,0,0,0,0
self-organisation,0,0,0,0,0,0,0,0
money,1,1,0,0,1,0,1,1
bank,0,0,0,0,0,0,0,1
poor,0,0,0,0,0,0,0,0
stock,0,0,0,0,0,0,0,0
street,0,0,0,0,0,0,0,0
virus,0,0,0,0,0,0,0,0
epidemiology,0,0,0,0,0,0,0,0
birds,0,0,0,0,0,0,0,0
gui,0,0,0,0,0,0,0,0
soft,0,0,0,0,0,0,0,0
thick,0,0,0,0,0,0,0,0
speed,0,0,0,0,0,0,0,0
velocity,0,0,0,0,0,0,0,0
value,0,0,0,0,0,0,0,0
deal,0,1,0,0,1,0,1,1
diffraction,0,0,0,0,0,0,0,0
dark,0,0,0,0,0,1,0,0
price,0,0,0,0,0,0,0,0
shade,0,0,0,0,0,0,0,0
thermodynamics,0,0,0,0,0,0,0,0
hot,1,0,0,0,0,0,0,0
cold,0,0,0,0,0,0,0,0
red,0,0,0,0,0,0,0,0
desert,1,0,1,1,0,1,0,0
warm,0,0,0,0,1,0,0,0
small,0,0,0,0,0,0,0,0
acoustics,0,0,0,0,0,0,0,0
socioscope,0,0,0,0,0,0,0,0
tiny,0,0,0,0,0,0,0,0
severe,0,0,0,0,0,0,0,0
matplotlib,0,0,0,0,0,0,0,0
gnuplot,0,0,0,0,0,0,0,0
rhetorics,0,0,0,0,0,0,0,0
story,0,0,0,0,0,0,0,0
chance,0,0,0,0,0,0,1,0
coin,0,0,0,0,0,0,0,0
gaussian,0,0,0,0,0,0,0,0
infrastructure,0,0,0,0,0,0,0,0
likelihood,0,0,0,0,0,0,0,0
percent,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
double,0,0,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0
difference,0,0,0,0,0,0,0,0
god,0,1,0,1,1,0,0,1
subjective,0,0,0,0,0,0,0,0
bifurcation,0,0,0,0,0,0,0,0
delightful,0,1,0,0,1,0,0,1
determinist,0,0,0,0,0,0,0,0
fractal,0,0,0,0,0,0,0,0
hospital,0,0,0,1,0,1,0,1
mess,0,0,1,0,0,0,0,0
radio,0,0,0,0,0,0,0,0
tintin,0,0,0,0,0,0,0,0
koehandel,0,0,0,0,0,0,0,0
sound,0,0,0,0,0,0,0,0
amazon,0,0,0,0,0,0,0,0
cloudy,0,0,0,0,0,1,0,0
dropbox,0,0,0,0,0,0,0,0
rain,0,0,0,0,0,0,0,0
software,0,0,0,0,0,0,0,0
termite,0,0,1,0,0,0,0,0
know,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0
imaginary,0,0,0,0,0,0,0,0
decision,0,0,0,0,0,0,0,0
equilibrium,0,0,0,0,0,0,0,0
prisoner’s,1,0,1,1,0,1,0,0
dish,0,0,0,0,0,0,0,0
krebs,0,0,0,0,0,0,0,0
bike,0,0,0,0,0,0,0,0
direction,0,0,0,0,0,0,0,0
fast,0,0,0,0,0,0,0,0
leg,0,0,0,0,0,0,0,0
slow,0,0,0,0,0,0,0,0
better,0,0,0,0,0,0,0,0
container,0,0,0,0,0,0,0,0
human,0,0,0,0,0,0,0,0
membrane,0,0,0,0,0,0,0,0
mitochondria,0,0,0,0,0,0,0,0
nitro,0,0,0,0,0,0,0,0
freeze,0,0,0,0,0,0,0,0
low,0,0,0,0,0,0,0,0
thermal,0,0,0,0,0,0,0,0
physhics,0,0,0,0,0,0,0,0
uniform,0,0,0,0,0,0,0,0
atomo,0,0,0,0,0,0,0,0
jon,0,0,0,0,0,0,0,0
wet,0,0,0,0,0,0,0,0
current,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0
hydrodynamics,0,0,0,0,0,0,0,0
rap,0,0,0,0,0,0,0,0
stream,0,0,0,0,0,0,0,0
tensor,0,0,0,0,0,0,0,0
steam,0,0,0,0,0,0,0,0
prisoner,1,0,1,1,0,1,0,0
5,0,0,0,0,0,0,0,0
doubt,0,0,0,1,0,1,0,1
song,0,0,0,0,0,0,0,0
strange,0,0,0,0,0,0,1,0
amper,0,0,0,0,0,0,0,0
bush,0,0,0,0,0,0,0,0
forest,0,0,0,0,0,0,0,0
bright,0,0,0,0,0,0,0,0
burn,0,0,0,0,0,0,0,0
forever,0,0,0,0,0,0,0,0
leader,0,0,0,0,0,0,0,1
up,0,0,0,0,0,0,0,0
landscape,0,0,0,0,0,0,0,0
links,0,0,0,0,0,0,0,0
erosion,0,0,0,0,0,0,0,0
milk,0,0,0,0,0,0,0,0
sine,0,0,0,0,0,0,0,0
ocean,0,0,0,0,1,0,0,0
axiom,0,0,0,0,0,0,0,1
cable,0,0,0,0,0,0,1,0
e-,0,0,0,0,0,0,0,0
fridge,0,0,0,0,0,0,0,0
hypothethis,0,0,0,0,0,0,0,0
magnet,0,0,0,0,0,0,0,1
plug,0,0,0,0,0,0,0,0
tesla,0,0,0,0,0,0,0,0
vivid,0,0,0,0,1,0,0,0
magnetism,0,0,0,0,0,0,0,0
metal,0,0,0,0,0,0,0,0
basket,0,0,0,0,0,0,0,0
allocation,0,0,0,0,0,0,0,0
buyers,0,0,0,0,0,0,0,0
chips,0,0,0,0,0,0,0,0
economical,0,0,0,0,0,0,0,0
efficiency,0,0,0,0,0,0,0,0
farmers,0,0,0,0,0,0,0,0
free,0,0,0,0,1,0,0,0
hungry,0,1,0,0,0,0,0,0
maker,0,0,0,0,0,0,0,0
rules,0,0,0,1,0,0,0,1
salesman,0,0,0,0,0,0,0,0
shares,0,1,0,0,1,0,0,1
europe,0,0,0,0,0,0,0,0
inch,0,0,0,0,0,0,0,0
length,0,0,0,0,0,0,0,0
ruler,0,0,0,0,0,0,0,0
units,0,0,0,0,0,0,0,0
airplane,0,0,0,0,0,0,0,0
backpack,0,0,0,0,0,0,0,0
expenses,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,0,1
hand,0,0,0,0,0,0,0,0
mood,0,0,0,0,0,0,0,0
steady,0,0,0,0,0,0,1,1
tax,0,0,0,0,0,1,0,0
united,0,0,0,0,0,0,0,1
infer,0,0,0,0,0,0,0,0
color,0,0,0,0,0,0,0,0
fantastic,0,0,0,0,0,0,0,0
spiral,0,0,0,0,0,0,0,0
aircraft,0,0,0,0,0,0,0,0
gaia,0,0,0,0,0,0,0,0
infinity,0,1,0,0,1,0,0,1
peak,0,0,0,0,0,0,0,0
nuclear,0,0,0,0,0,0,0,0
positron,0,0,0,0,0,0,0,0
notes,0,0,0,0,0,0,0,0
prisoners,1,0,1,1,0,1,0,0
card,0,0,0,0,0,0,0,0
cash_machine,0,0,0,0,0,0,0,0
caution,1,1,0,1,0,0,0,0
wise,0,0,0,0,0,0,0,0
mobile,0,1,0,0,0,0,0,0
premise,0,0,0,0,0,0,0,0
proposal,0,0,0,0,0,0,0,0
mentor,0,0,0,0,0,0,0,1
understanding,0,0,0,0,0,0,0,0
functional,0,0,0,0,0,0,0,0
run,0,0,0,0,0,0,0,0
2vec,0,0,0,0,0,0,0,0
buzz,0,1,0,1,0,0,0,0
count,0,0,0,0,0,0,0,1
excel,0,1,0,0,1,0,1,1
frequency,0,0,0,0,0,0,0,0
list,0,0,0,0,0,0,0,0
microsoft,0,0,0,0,0,0,0,0
poem,0,0,0,0,0,0,0,0
tekst,0,0,0,0,0,0,0,0
text,0,0,0,0,0,0,0,0
impact,0,0,0,0,0,0,0,0
importance,0,1,0,0,0,0,0,0
relationship,0,0,0,0,1,0,0,1
hypothesis,0,1,0,0,0,0,1,0
argument,1,0,0,0,0,0,0,0
wind,0,0,0,0,0,0,0,0
perturbation,0,0,0,1,0,0,0,0
synapse,0,0,0,0,0,0,0,0
context,0,0,0,0,0,0,0,0
beat,0,0,0,0,0,0,0,0
pulse,0,0,0,0,0,0,0,0
rthym,0,0,0,0,0,0,0,0
soul,0,0,0,0,1,0,0,0
opinion,0,0,0,0,0,0,0,0
advise,0,0,0,0,0,0,0,1
gratitude,0,0,0,0,1,0,0,1
help,0,0,0,0,0,0,0,0
recommendation,0,0,0,0,0,0,0,0
tip,0,0,0,0,0,0,0,0
susceptibel,0,0,0,0,0,0,0,0
neuron,0,0,0,0,0,0,0,0
cellular,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,0,0,0
situation,0,0,0,0,0,0,0,0
long,0,1,0,0,0,0,0,0
development,0,0,0,0,0,0,0,0
crisis,0,0,0,1,0,0,0,0
house,0,0,0,0,0,0,0,0
merkel,0,0,0,0,0,0,0,0
wide,0,0,0,0,0,0,0,0
action,0,0,0,0,0,0,0,0
recognition,0,0,0,0,0,0,0,0
range,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,0
istanbul,0,0,0,0,0,0,0,0
la,0,0,0,0,0,0,0,0
square,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0
growth,0,0,0,0,1,0,0,0
complicate,1,0,0,0,0,0,0,0
religion,0,0,0,0,0,0,0,1
blunt,0,0,0,0,0,0,0,0
delta,0,0,0,0,0,0,0,0
pierce,0,0,0,0,0,0,0,0
sharp,0,0,0,0,0,0,0,0
signal,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,0,0
first,0,0,0,0,0,0,0,0
about,0,0,0,0,0,0,0,0
close,0,0,0,0,0,0,0,0
exact,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,1,0
roughly,0,0,0,0,0,0,0,0
simplification,0,0,0,0,0,0,0,0
runge-kutta,0,0,0,0,0,0,0,0
robust,0,0,0,0,0,0,0,0
greek,0,0,0,0,0,0,0,0
static,0,0,0,0,0,0,0,0
dragon,0,0,0,1,0,0,0,0
intelligent,0,0,0,0,0,0,0,1
based,0,0,0,0,0,0,0,1
secret,0,0,0,0,0,0,0,1
cloth,0,0,0,0,0,0,0,0
parameters,0,0,0,0,0,0,0,0
astronomy,0,0,0,0,0,0,0,0
hubble,0,0,0,0,0,0,0,0
planets,0,0,0,0,0,0,0,0
character,0,0,0,0,0,0,0,0
author,0,0,0,0,0,0,0,1
advisor,0,0,0,0,0,0,0,0
demonstration,0,0,0,0,0,0,0,0
famous,0,0,0,0,0,0,0,0
friend,0,0,0,0,1,0,0,1
mammal,0,0,0,0,0,0,0,0
fashion,0,0,0,0,0,0,0,1
procedure,0,0,0,1,0,0,0,0
escape,0,1,0,1,0,0,0,0
board,0,1,0,0,0,0,0,0
wallet,0,0,0,0,0,0,0,0
government,0,0,0,1,0,0,0,0
management,0,0,0,0,0,0,0,1
manipulate,0,0,0,0,0,0,0,0
observation,0,0,0,0,0,0,0,0
out,0,0,0,0,0,0,0,0
flies,0,0,0,0,0,0,0,0
einstein,0,0,0,0,0,0,0,0
record,0,0,0,0,0,0,0,0
cd,0,0,0,0,0,0,0,0
dvd,0,0,0,0,0,0,0,0
rocket,1,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,0
film,0,0,0,0,0,0,0,0
payoffs,0,0,0,0,0,0,0,0
pill,0,0,0,0,0,0,0,1
storage,0,0,0,0,0,0,0,0
vectors,0,0,0,0,0,0,0,0
angles,0,0,0,0,0,0,0,0
strength,0,0,0,0,1,0,0,1
jam,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,0,0,0
prove,0,0,0,0,0,0,0,0
airbus,0,0,0,0,0,0,0,0
schedule,0,0,0,0,0,0,0,0
triangle,0,0,0,0,0,0,0,0
four,0,0,0,0,0,0,0,0
pentagon,0,0,0,0,0,0,0,0
rectangle,0,0,0,0,0,0,0,0
prevention,0,1,0,0,0,0,0,0
fluffy,0,0,0,0,0,0,0,0
cause,0,0,0,0,0,0,0,0
source,0,0,0,0,0,0,0,0
round,0,0,0,0,0,0,0,0
clever,0,0,0,0,0,0,0,0
euler,0,0,0,0,0,0,0,0
von,0,0,0,0,0,0,0,0
results,0,1,0,0,0,0,0,0
sklearn,0,0,0,0,0,0,0,0
continuous,0,0,0,0,0,0,0,0
differentiate,0,0,0,0,0,0,0,0
dx,0,0,0,0,0,0,0,0
solve,0,0,0,0,0,0,0,0
sum,0,0,0,0,0,0,0,0
integrate,0,0,0,0,0,0,0,0
second,0,0,0,0,0,0,0,0
asymptote,0,0,0,0,0,0,0,0
bounds,0,0,0,0,0,0,0,0
optics,0,0,0,0,0,0,0,0
charger,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,1,1,0
shop,0,0,0,0,0,0,0,0
physical,0,0,0,0,0,0,0,0
dictionary,0,0,0,0,0,0,0,1
post-doc,0,0,0,0,0,0,0,0
medium,0,0,0,0,0,0,0,0
press,0,0,0,0,0,0,0,0
room,0,0,0,0,0,0,0,0
coordinates,0,0,0,0,0,0,0,0
tangent,0,0,0,0,0,0,0,0
bayes,0,0,0,0,0,0,0,0
courier,0,0,0,0,0,0,0,1
insanity,1,0,1,1,0,1,0,0
moving,0,0,0,0,0,0,0,0
truck,0,0,0,0,0,0,0,1
point,0,0,0,0,0,0,0,0
discomfort,0,0,0,0,0,1,0,0
horse,0,0,0,0,0,0,0,1
horseback,0,0,0,0,0,0,0,0
joint,0,0,0,0,0,0,0,0
ride,0,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0
uni,0,0,0,0,0,0,0,0
bohr,0,0,0,0,0,0,0,0
negative,0,0,0,0,0,1,0,0
prison,1,0,0,1,0,1,0,0
computability,0,0,0,0,0,0,0,0
gambling,0,0,0,0,0,0,0,0
std,0,0,0,0,0,0,0,0
cross,1,0,0,1,0,1,0,0
straight,0,0,0,0,0,0,0,0
pony,0,0,0,0,1,0,0,0
tutorial,0,0,0,0,0,0,0,0
eigenstate,0,0,0,0,0,0,0,0
eigenvalue,0,0,0,0,0,0,0,0
pca,0,0,0,0,0,0,0,0
hierarchy,0,0,0,0,0,0,0,0
police,0,0,0,1,0,0,0,1
resistance,1,0,0,0,0,0,0,1
facebook,0,0,0,0,0,0,0,0
core,0,0,0,0,0,0,0,0
formation,0,0,0,0,0,0,0,0
honey,0,0,0,0,0,0,0,0
inspiring,0,1,0,0,1,0,0,1
instruction,0,0,0,0,0,0,0,1
lecturer,0,0,0,0,0,0,0,0
listening,0,0,0,0,0,0,0,0
motivating,0,0,0,0,0,0,0,0
love,0,0,0,0,1,0,0,1
path,0,0,0,0,0,0,0,1
shapes,0,0,0,0,0,0,0,0
cancan,0,0,0,0,0,0,0,0
virtual,0,0,0,0,0,0,0,0
peace,0,1,0,0,1,0,0,1
fragility,0,0,0,0,0,0,0,0
question,0,0,0,0,0,0,0,0
attribute,0,0,0,0,0,0,0,0
bug,0,0,1,1,0,0,0,0
missing,0,0,0,0,0,1,0,0
peculiar,0,0,0,0,0,0,0,0
unique,0,0,0,0,1,0,1,0
colony,0,0,0,0,0,0,0,0
self-organize,0,0,0,0,0,0,0,0
termites,0,0,1,0,0,0,0,0
challenge,1,0,0,1,0,0,0,0
arm,0,0,0,0,0,0,0,0
eyes,0,0,0,0,0,0,0,0
pain,0,0,0,1,0,1,0,0
park,0,0,0,0,0,0,0,0
photosynthesis,0,0,0,0,0,0,0,0
roots,0,0,0,0,0,0,0,0
capacity,0,0,0,0,0,0,0,1
conductor,0,0,0,0,0,0,0,0
electronics,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,0,0
pcb,0,0,0,0,0,0,0,0
raspberry,0,0,0,0,0,0,0,0
resistor,0,0,0,0,0,0,0,0
voltage,0,0,0,0,0,0,0,0
gear,0,0,0,0,0,0,0,0
obama,0,0,0,0,0,0,0,0
progress,0,1,0,0,1,0,0,0
bell,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,0,0
integration,0,0,0,0,0,0,0,0
meters,0,0,0,0,0,0,0,0
quantity,0,0,0,0,0,0,0,0
disagree,1,0,0,0,0,0,0,0
much,0,0,0,0,0,0,0,0
garden,0,0,0,0,1,0,0,0
petal,0,0,0,0,0,0,0,0
rose,0,0,0,0,0,0,0,0
smell,1,0,1,0,0,0,0,0
healthy,0,0,0,0,1,0,0,0
safe,0,0,0,0,1,0,0,1
bin,0,0,0,0,0,0,0,0
map,0,0,0,0,0,0,0,0
maps,0,0,0,0,0,0,0,0
topography,0,0,0,0,0,0,0,0
accordion,0,0,0,0,0,0,0,0
bass,0,0,0,0,0,0,0,0
drums,0,0,0,0,0,0,0,0
guitar,0,0,0,0,0,0,0,0
opera,1,1,0,1,1,1,1,1
piano,0,0,0,0,0,0,0,0
trumpet,0,0,0,0,0,0,0,0
violin,0,0,0,0,0,0,0,0
sport,0,0,0,0,0,0,0,0
hobbies,0,0,0,0,1,0,0,0
marx,0,0,0,0,0,0,0,0
desktop,0,0,0,0,0,0,0,0
artificial,0,0,0,0,0,0,0,0
heavy,0,0,0,0,0,0,0,0
turing,0,0,0,0,0,0,0,0
do,0,0,0,0,0,0,0,0
play,0,0,0,0,0,0,0,0
jeans,0,0,0,0,0,0,0,0
colour,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,0,0
equal,0,0,0,0,0,0,0,0
ink,0,0,0,0,0,0,0,0
match,0,0,0,0,0,0,0,0
paint,0,0,0,0,0,0,0,0
photoshop,0,0,0,0,0,0,0,0
picture,0,0,0,0,0,0,0,0
random,0,0,0,0,0,0,0,0
shelf,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
biome,0,0,0,0,0,0,0,0
statistic,0,0,0,0,0,0,0,0
wood,0,0,0,0,0,0,0,0
mushroom,0,0,0,0,0,0,0,0
nasty,1,0,1,1,0,1,0,0
shower,0,0,0,0,0,0,0,0
diverge,0,0,0,0,0,0,0,0
split,0,0,0,0,0,0,0,0
city,0,0,0,0,0,0,0,0
bee,1,0,0,1,0,0,0,0
funds,0,0,0,0,0,0,0,0
micro,0,0,0,0,0,0,0,0
army,0,0,0,0,0,0,0,0
choose,0,0,0,0,0,0,0,0
maintain,0,0,0,0,0,0,0,0
stability,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
poison,1,0,1,1,0,1,0,0
vein,0,0,0,0,0,0,0,0
blend,0,0,0,0,0,0,0,0
comprehension,0,0,0,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0
brake,0,0,0,0,0,0,0,0
loss,1,0,0,1,0,1,0,0
smoke,0,0,0,0,0,0,0,0
float,0,0,0,0,0,0,0,0
disorder,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0
profit,0,0,0,0,0,0,0,0
africa,0,0,0,0,0,0,0,0
ode,0,0,0,0,0,0,0,0
implement,0,0,0,0,0,0,0,0
different,0,0,0,0,0,0,0,0
pretend,0,0,0,0,0,0,0,0
childish,0,0,0,0,0,0,0,0
gathering,0,0,0,0,0,0,0,0
serbia,0,0,0,0,0,0,0,0
correlation,0,0,0,0,0,0,0,0
surprise,0,0,0,1,1,0,1,0
advertisement,0,0,0,0,0,0,0,0
cricri,0,0,0,0,0,0,0,0
spa,0,1,0,0,1,0,1,1
La,0,0,0,0,0,0,0,0
politician,0,0,0,0,0,0,0,0
lesson,0,1,0,0,0,0,0,1
newbie,0,0,0,0,0,0,0,0
inference,0,0,0,0,0,0,0,0
bacteria,0,0,1,1,0,1,0,0
obvious,0,0,0,0,0,0,0,1
proving,0,0,0,0,0,0,0,0
herbivores,0,0,0,0,0,0,0,0
weed,0,0,0,0,0,0,0,0
leaflet,0,0,0,0,0,0,0,0
atome,0,0,0,0,0,0,0,0
helium,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0
periodic,0,0,0,0,0,0,0,0
two,0,0,0,0,0,0,0,0
whiteboard,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0
page,0,0,0,0,0,0,0,0
read,0,0,0,0,0,0,0,0
review,0,0,0,0,0,0,0,0
cm,0,0,0,0,0,0,0,0
svd,0,0,0,0,0,0,0,0
deduction,0,0,0,0,0,0,0,0
stupid,0,0,0,0,0,0,0,0
trivial,0,0,0,0,0,0,0,0
elevator,0,0,0,0,0,0,0,0
floor,0,0,0,0,0,0,0,0
multi,0,0,0,0,0,0,0,0
upgrade,0,0,0,0,0,0,0,0
induction,0,0,0,0,0,0,0,0
contract,0,0,0,0,0,0,0,0
disagreement,1,0,0,0,0,1,0,0
handshake,0,0,0,0,0,0,0,0
bird,0,0,0,0,0,0,0,0
decline,0,0,0,0,0,0,0,0
difficulty,1,0,0,1,0,1,0,0
assess,0,0,0,0,0,0,0,0
check,0,0,0,0,0,0,0,0
scar,1,0,1,1,0,1,0,0
symbol,0,0,0,0,0,0,0,0
association,0,0,0,0,0,0,0,1
hypotenuse,0,0,0,0,0,0,0,0
sin,1,0,1,1,0,1,0,0
tan,0,0,0,0,0,0,0,0
bars,0,0,0,0,0,0,0,0
vip,0,0,0,0,0,0,0,0
after,0,0,0,0,0,0,0,0
budget,0,0,0,0,0,0,0,1
fee,1,0,0,0,0,0,0,0
guarantee,0,0,0,0,0,0,0,1
waiver,0,0,0,0,0,0,0,0
communications,0,0,0,0,0,0,0,1
plan,0,1,0,0,0,0,0,0
venture,0,0,0,0,0,0,0,0
chalk,0,0,0,0,0,0,0,0
writing,0,0,0,0,0,0,0,0
evaluation,0,0,0,0,0,0,0,0
stress,0,0,0,1,0,0,0,0
average,0,0,0,0,0,0,0,0
comma,0,0,0,0,0,0,0,0
error,0,0,0,0,0,1,0,0
now,0,0,0,0,0,0,0,0
oscillate,0,0,0,0,0,0,0,0
punctuation,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,0,0
petnica,0,0,0,0,0,0,0,0
again,0,0,0,0,0,0,0,0
garbage,0,0,1,0,0,0,0,0
rubbish,0,0,1,0,0,0,0,0
care,0,0,0,0,0,0,0,0
public,0,1,0,0,0,0,0,0
sickness,0,0,1,1,0,1,0,0
feeling,0,0,0,0,0,0,0,0
dinner,0,0,0,0,0,0,0,0
family,0,0,0,0,1,0,0,0
gervais,0,0,0,0,0,0,0,0
hadrons,0,0,0,0,0,0,0,0
cars,0,0,0,0,0,0,0,0
ideas,0,0,0,0,0,0,0,0
meteor,0,0,0,0,0,0,0,0
all,0,0,0,0,0,0,0,0
entity,0,0,0,0,0,0,0,0
single,0,0,0,0,0,0,0,0
trajectory,0,0,0,0,0,0,0,0
foucault,0,0,0,0,0,0,0,0
swing,0,0,0,0,0,0,0,0
quantile,0,0,0,0,0,0,0,0
antisystem,0,0,0,0,0,0,0,0
